arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.4291,0.3943,0.4646,0.0,0.0,0.0,0.8829
majority vote (self-consistency),2,0.6931,500,0.4291,0.3944,0.464,0.0,0.0,0.0,0.8829
majority vote (self-consistency),4,1.3863,500,0.4385,0.4028,0.4748,0.0094,-0.012,0.0309,0.8829
majority vote (self-consistency),8,2.0794,500,0.4521,0.4158,0.489,0.023,-0.004,0.0498,0.8829
majority vote (self-consistency),16,2.7726,500,0.4644,0.427,0.5005,0.0353,0.0075,0.0637,0.8829
majority vote (self-consistency),32,3.4657,500,0.4528,0.4167,0.4896,0.0237,-0.0057,0.0534,0.8829
majority vote (self-consistency),64,4.1589,500,0.4575,0.4204,0.4945,0.0284,-0.0012,0.0576,0.8829
pointwise reward (Qwen2.5-14B),1,0.0,500,0.4291,0.3943,0.4646,0.0,0.0,0.0,-0.8929
pointwise reward (Qwen2.5-14B),2,0.6931,500,0.4072,0.3733,0.4426,-0.0219,-0.0437,-0.0006,-0.8929
pointwise reward (Qwen2.5-14B),4,1.3863,500,0.3687,0.3341,0.4022,-0.0604,-0.0892,-0.032,-0.8929
pointwise reward (Qwen2.5-14B),8,2.0794,500,0.3318,0.2993,0.3653,-0.0973,-0.1296,-0.0649,-0.8929
pointwise reward (Qwen2.5-14B),16,2.7726,500,0.3021,0.2699,0.3349,-0.127,-0.1627,-0.0906,-0.8929
pointwise reward (Qwen2.5-14B),32,3.4657,500,0.3126,0.2805,0.3457,-0.1165,-0.1538,-0.0785,-0.8929
pointwise reward (Qwen2.5-14B),64,4.1589,500,0.303,0.271,0.3366,-0.1261,-0.1668,-0.0851,-0.8929
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
