prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.17.00,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.03,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2
bookmia.17.04,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,3,0.0,2,0.0,2
bookmia.17.06,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,3,0.0,3
bookmia.17.08,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,1
bookmia.17.11,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.12,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.13,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.14,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,1
bookmia.17.16,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,1
bookmia.17.18,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,3
bookmia.17.22,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.24,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.26,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,2,0.0,1
bookmia.17.28,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.31,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,3,0.0,3
bookmia.17.32,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,1
bookmia.17.33,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,1,0.0,2
bookmia.17.35,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2
bookmia.17.38,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,3
bookmia.17.41,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,1,0.0,2
bookmia.17.42,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,4
bookmia.17.45,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1
bookmia.17.49,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1
bookmia.17.51,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.55,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2
bookmia.17.58,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.62,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2
bookmia.17.64,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,2,0.0,3,0.0,2
bookmia.17.65,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1
bookmia.17.66,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1
bookmia.17.67,harry_potter_and_the_sorcerer's_stone,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1
