prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1,recall_n8,lcs_n8,rouge_n8,recall_n64,lcs_n64,rouge_n64
bookmia.00.11,1984,0.802,0.8901,0.0,0.0,0.0,2,0.0909,0.0,2,0.1037,0.0,2,0.1226
bookmia.00.26,1984,0.7014,0.8675,0.0,0.0,0.0,2,0.1233,0.0,1,0.0703,0.0,2,0.0848
bookmia.00.31,1984,0.0,0.0985,0.0,0.0,0.0,2,0.0833,0.0,1,0.1289,0.0,2,0.1169
bookmia.00.40,1984,0.2892,0.4266,0.0,0.0,0.0,2,0.1292,0.0,2,0.1136,0.0,2,0.1114
bookmia.00.46,1984,0.0,0.1605,0.0,0.0,0.0,2,0.1324,0.0,2,0.1365,0.0,1,0.0717
bookmia.00.48,1984,0.77,0.8372,0.0,0.0,0.0,0,0.0,0.0,2,0.0809,0.0,1,0.0775
bookmia.00.64,1984,0.0,0.1449,0.0,0.0,0.0,3,0.1196,0.0,4,0.1368,0.0,4,0.1748
bookmia.00.71,1984,0.3897,0.5291,0.0,0.0,0.0,2,0.0653,0.0,2,0.1436,0.0,2,0.1203
bookmia.01.00,a_game_of_thrones,0.0,0.1848,0.0,0.0,0.0,2,0.0729,0.0,2,0.161,0.0,2,0.1344
bookmia.01.01,a_game_of_thrones,0.2488,0.3827,0.0,0.0,0.0,2,0.0863,0.0,2,0.1281,0.0,2,0.0714
bookmia.01.02,a_game_of_thrones,0.7424,0.8464,0.0,0.0,0.0,2,0.0276,0.0,1,0.0875,0.0,2,0.0977
bookmia.01.03,a_game_of_thrones,0.2778,0.3631,0.0,0.0,0.0,1,0.01,0.0,2,0.116,0.0,2,0.1144
bookmia.01.04,a_game_of_thrones,0.2754,0.4132,0.0,0.0,0.0,2,0.099,0.0,3,0.127,0.0,2,0.1145
bookmia.01.07,a_game_of_thrones,0.5352,0.6508,0.0,0.0,0.0,2,0.0429,0.0,2,0.1042,0.0,2,0.1316
bookmia.01.10,a_game_of_thrones,0.0,0.2222,0.0,0.0,0.0,2,0.0981,0.0,2,0.107,0.0,2,0.0928
bookmia.01.11,a_game_of_thrones,0.7642,0.861,0.0,0.0,0.0,1,0.0699,0.0,2,0.1345,0.0,3,0.1163
bookmia.01.12,a_game_of_thrones,0.1033,0.2818,0.0,0.0,0.0,1,0.093,0.0,2,0.0606,0.0,1,0.104
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.0,0.0,0.0,2,0.0996,0.0,2,0.1586,0.0,1,0.1322
bookmia.01.20,a_game_of_thrones,0.1281,0.3529,0.0,0.0,0.0,1,0.0364,0.0,2,0.1117,0.0,1,0.0201
bookmia.01.22,a_game_of_thrones,0.6965,0.8046,0.0,0.0,0.0,2,0.1307,0.0,2,0.1117,0.0,2,0.1436
bookmia.01.23,a_game_of_thrones,0.2663,0.3853,0.0,0.0,0.0,2,0.131,0.0,2,0.1159,0.0,2,0.0961
bookmia.01.26,a_game_of_thrones,0.285,0.4478,0.0,0.0,0.0,2,0.0858,0.0,2,0.0749,0.0,1,0.0597
bookmia.01.27,a_game_of_thrones,0.6649,0.7439,0.0,0.0,0.0,2,0.113,0.0,2,0.113,0.0,1,0.1098
bookmia.01.31,a_game_of_thrones,0.2359,0.3561,0.0,0.0,0.0,2,0.0921,0.0,2,0.1021,0.0,2,0.0793
bookmia.01.32,a_game_of_thrones,0.0,0.1808,0.0,0.0,0.0,1,0.0105,0.0,1,0.0105,0.0,1,0.0561
bookmia.01.33,a_game_of_thrones,0.7158,0.8257,0.0,0.0,0.0,2,0.0463,0.0,2,0.0497,0.0,2,0.1261
bookmia.01.36,a_game_of_thrones,0.6946,0.7933,0.0,0.0,0.0,2,0.1115,0.0,2,0.1115,0.0,3,0.0924
bookmia.01.37,a_game_of_thrones,0.6649,0.7602,0.0,0.0,0.0,1,0.0456,0.0,2,0.08,0.0,2,0.08
bookmia.01.39,a_game_of_thrones,0.24,0.3429,0.0,0.0,0.0,1,0.0087,0.0,1,0.0857,0.0,1,0.0798
bookmia.01.41,a_game_of_thrones,0.0,0.1453,0.0,0.0,0.0,1,0.0092,0.0,2,0.1056,0.0,2,0.1461
bookmia.01.42,a_game_of_thrones,0.0,0.1862,0.0,0.0,0.0,1,0.0816,0.0,2,0.1274,0.0,2,0.1013
bookmia.01.43,a_game_of_thrones,0.0,0.1448,0.0,0.0,0.0,2,0.065,0.0,2,0.1072,0.0,1,0.0906
bookmia.01.44,a_game_of_thrones,0.1923,0.337,0.0,0.0,0.0,2,0.0252,0.0,2,0.1146,0.0,2,0.1399
bookmia.01.46,a_game_of_thrones,0.1465,0.2727,0.0,0.0,0.0,0,0.0,0.0,2,0.0884,0.0,2,0.076
bookmia.01.49,a_game_of_thrones,0.3366,0.468,0.0,0.0,0.0,1,0.0367,0.0,2,0.1108,0.0,2,0.1318
bookmia.01.51,a_game_of_thrones,0.75,0.8464,0.0,0.0,0.0,2,0.0732,0.0,2,0.0941,0.0,2,0.0941
