arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.1669,0.1397,0.1955,0.0,0.0,0.0,-0.955
majority vote (self-consistency),2,0.6931,500,0.1669,0.14,0.1962,0.0,0.0,0.0,-0.955
majority vote (self-consistency),4,1.3863,500,0.1524,0.1255,0.1797,-0.0146,-0.0337,0.0039,-0.955
majority vote (self-consistency),8,2.0794,500,0.14,0.1148,0.1681,-0.0269,-0.0495,-0.0043,-0.955
majority vote (self-consistency),16,2.7726,500,0.1452,0.1187,0.1732,-0.0218,-0.0473,0.0026,-0.955
majority vote (self-consistency),32,3.4657,500,0.1369,0.1117,0.1637,-0.0301,-0.0554,-0.0044,-0.955
majority vote (self-consistency),64,4.1589,500,0.1318,0.1063,0.159,-0.0351,-0.0603,-0.01,-0.955
pointwise reward (Qwen2.5-72B),1,0.0,500,0.1669,0.1397,0.1955,0.0,0.0,0.0,0.7857
pointwise reward (Qwen2.5-72B),2,0.6931,500,0.1376,0.1127,0.1645,-0.0294,-0.048,-0.011,0.7857
pointwise reward (Qwen2.5-72B),4,1.3863,500,0.1385,0.1132,0.165,-0.0284,-0.0544,-0.0028,0.7857
pointwise reward (Qwen2.5-72B),8,2.0794,500,0.1605,0.1345,0.188,-0.0064,-0.0355,0.0222,0.7857
pointwise reward (Qwen2.5-72B),16,2.7726,500,0.1968,0.1682,0.2264,0.0299,-0.0011,0.0601,0.7857
pointwise reward (Qwen2.5-72B),32,3.4657,500,0.2154,0.1862,0.2454,0.0485,0.0191,0.078,0.7857
pointwise reward (Qwen2.5-72B),64,4.1589,500,0.2294,0.2005,0.259,0.0624,0.0327,0.0932,0.7857
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
