arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.1669,0.1397,0.1955,0.0,0.0,0.0,-0.955
majority vote (self-consistency),2,0.6931,500,0.1669,0.14,0.1962,0.0,0.0,0.0,-0.955
majority vote (self-consistency),4,1.3863,500,0.1524,0.1255,0.1797,-0.0146,-0.0337,0.0039,-0.955
majority vote (self-consistency),8,2.0794,500,0.14,0.1148,0.1681,-0.0269,-0.0495,-0.0043,-0.955
majority vote (self-consistency),16,2.7726,500,0.1452,0.1187,0.1732,-0.0218,-0.0473,0.0026,-0.955
majority vote (self-consistency),32,3.4657,500,0.1369,0.1117,0.1637,-0.0301,-0.0554,-0.0044,-0.955
majority vote (self-consistency),64,4.1589,500,0.1318,0.1063,0.159,-0.0351,-0.0603,-0.01,-0.955
pointwise reward (Qwen2.5-14B),1,0.0,500,0.1669,0.1397,0.1955,0.0,0.0,0.0,0.2143
pointwise reward (Qwen2.5-14B),2,0.6931,500,0.1406,0.1149,0.1684,-0.0263,-0.0443,-0.009,0.2143
pointwise reward (Qwen2.5-14B),4,1.3863,500,0.114,0.0904,0.139,-0.0529,-0.0774,-0.0293,0.2143
pointwise reward (Qwen2.5-14B),8,2.0794,500,0.1091,0.0862,0.1335,-0.0579,-0.087,-0.03,0.2143
pointwise reward (Qwen2.5-14B),16,2.7726,500,0.1215,0.0983,0.1457,-0.0454,-0.0757,-0.0158,0.2143
pointwise reward (Qwen2.5-14B),32,3.4657,500,0.1507,0.1242,0.1771,-0.0162,-0.0488,0.0158,0.2143
pointwise reward (Qwen2.5-14B),64,4.1589,500,0.1682,0.1414,0.1961,0.0012,-0.0326,0.0349,0.2143
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
